source,title,make,model,year,mileage,price,location
Jiji,Nissan Serena,Nissan,Serena,2014,48523,1450000.0,"Nairobi, Kilimani"
Jiji,Nissan Navara,Nissan,Navara,2012,890000,2700000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Juke,Nissan,Juke,2014,62558,1350000.0,"Mombasa, Mvita"
Jiji,Nissan Bluebird,Nissan,Bluebird,2014,,1300000.0,Nairobi
Jiji,Nissan Juke,Nissan,Juke,2014,89211,1450000.0,"Nairobi, Ridgeways"
Jiji,Nissan Sylphy,Nissan,Sylphy,2014,78600,1230000.0,"Nairobi, Ridgeways"
Jiji,Nissan Dualis,Nissan,Dualis,2013,,1550000.0,"Mombasa, Mvita"
Jiji,Nissan Wingroad,Nissan,Wingroad,2014,,950000.0,Nairobi
Jiji,Nissan Latio,Nissan,Latio,2014,80411,820000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Note,Nissan,Note,2014,85314,730000.0,"Mombasa, Kizingo / Mombasa"
Jiji,Nissan X-Trail,Nissan,X-Trail,2014,62000,2350000.0,"Nairobi, Kilimani"
